original_file,compared_file,stage,noise_type,filter_type,mse,psnr,ssim
original.png, gaussian_after_median_filter.png,noise, gaussian_after_median_filter,,990.2261,18.1735,0.378504
original.png,chisquare_after_bilaterial_filter.png,filtered,chisquare,bilaterial_filter,4980.6172,11.158,0.236872
original.png,chisquare_after_selfmade_noise_filter.png,filtered,chisquare,selfmade_noise_filter,4651.6182,11.4548,0.260335
original.png,chisquare.png,noise,chisquare,,6285.5068,10.1474,0.221102
original.png,chisquare_after_median_filter.png,noise,chisquare_after_median_filter,,2721.7031,13.7824,0.323612
original.png,chisquare_histogram.png,noise,chisquare_histogram,,21969.6797,4.7126,0.188146
original.png,exponential_after_bilaterial_filter.png,filtered,exponential,bilaterial_filter,6599.5166,9.9357,0.444735
original.png,exponential_after_selfmade_noise_filter.png,filtered,exponential,selfmade_noise_filter,6786.0537,9.8146,0.370206
original.png,exponential.png,noise,exponential,,7575.4385,9.3367,0.359055
original.png,exponential_after_median_filter.png,noise,exponential_after_median_filter,,5413.6953,10.7959,0.399238
original.png,exponential_histogram.png,noise,exponential_histogram,,19079.3047,5.3252,0.201378
original.png,gamma_after_bilaterial_filter.png,filtered,gamma,bilaterial_filter,6602.7217,9.9336,0.445853
original.png,gamma_after_selfmade_noise_filter.png,filtered,gamma,selfmade_noise_filter,6781.1309,9.8178,0.371508
original.png,gamma.png,noise,gamma,,7578.4209,9.335,0.359835
original.png,gamma_after_median_filter.png,noise,gamma_after_median_filter,,5426.2544,10.7858,0.400971
original.png,gamma_histogram.png,noise,gamma_histogram,,19282.6914,5.2791,0.201816
original.png,gaussian_after_bilaterial_filter.png,filtered,gaussian,bilaterial_filter,4195.1494,11.9033,0.251331
original.png,gaussian.png,noise,gaussian,,5885.8271,10.4327,0.22143
original.png,gaussian_histogram.png,noise,gaussian_histogram,,22771.6738,4.5569,0.182117
original.png,guassian_after_selfmade_noise_filter.png,filtered,guassian,selfmade_noise_filter,5000.3857,11.1408,0.242298
original.png,uniform_after_bilaterial_filter.png,filtered,uniform,bilaterial_filter,1336.469,16.8712,0.435479
original.png,uniform_after_selfmade_noise_filter.png,filtered,uniform,selfmade_noise_filter,2449.9758,14.2392,0.371309
original.png,uniform.png,noise,uniform,,2737.9045,13.7566,0.355544
original.png,uniform_after_median_filter.png,noise,uniform_after_median_filter,,727.0746,19.515,0.43897
original.png,uniform_histogram.png,noise,uniform_histogram,,22410.2578,4.6263,0.182964
original.png,weibull_after_bilaterial_filter.png,filtered,weibull,bilaterial_filter,6639.6187,9.9094,0.443342
original.png,weibull_after_selfmade_noise_filter.png,filtered,weibull,selfmade_noise_filter,6814.9648,9.7962,0.369117
original.png,weibull.png,noise,weibull,,7612.2891,9.3157,0.357531
original.png,weibull_after_median_filter.png,noise,weibull_after_median_filter,,5446.6602,10.7695,0.398457
original.png,weibull_histogram.png,noise,weibull_histogram,,19378.623,5.2576,0.203707
